CITY,STATE,  JAN,   FEB,   MAR,   APR,   MAY,   JUN,  JUL,   AUG,   SEP,   OCT,   NOV,   DEC
SIOUX CITY, IA                ,0.62,0.67,2,2.95,3.74,3.89,3.44,3.23,2.96,2.13,1.31,0.8
WATERLOO, IA                  ,0.83,0.99,2.06,3.71,4.53,4.98,4.91,4.27,2.63,2.48,2.01,1.2
CONCORDIA, KS                 ,0.58,0.79,2.01,2.45,4.16,4.05,3.92,3.14,2.91,1.92,1.11,0.85
DODGE CITY, KS                ,0.58,0.68,1.59,1.82,2.85,3.24,3.08,2.75,1.67,1.74,0.76,0.84
GOODLAND, KS                  ,0.38,0.49,1.07,1.59,2.95,3.25,3.47,2.7,1.22,1.37,0.71,0.46
TOPEKA, KS                    ,0.86,1.32,2.49,3.53,4.91,5.4,3.82,4.24,3.66,3.03,1.85,1.35
WICHITA, KS                   ,0.26,1.35,2.8,2.95,4.91,5.42,3.52,3.83,3.15,2.98,1.97,1.2
GREATER CINCINNATI AP,OH      ,2.82,2.54,3.88,3.86,5.03,4.05,3.86,3.61,2.83,3.11,3.2,3.15
JACKSON, KY                   ,3.61,3.75,4.12,3.83,5.2,4.7,4.65,3.69,3.46,3.19,3.96,4.18
LEXINGTON, KY                 ,3.2,3.2,4.07,3.6,5.26,4.44,4.65,3.25,2.91,3.13,3.53,3.93
LOUISVILLE, KY                ,3.38,3.18,4.16,4.08,5.12,4.14,4.17,3.31,3.16,3.22,3.61,4.01
PADUCAH, KY                   ,3.68,3.91,3.93,4.76,4.94,4.06,4.44,2.76,3.75,3.96,4.3,4.59
BATON ROUGE, LA               ,5.72,5.04,4.41,4.46,4.89,6.41,4.96,5.82,4.54,4.7,4.1,5.6
LAKE CHARLES, LA              ,5.23,3.46,3.66,3.33,5.2,6.85,5.63,4.86,5.26,4.9,4.43,4.68
NEW ORLEANS, LA               ,5.15,5.3,4.55,4.61,4.63,8.06,5.93,5.98,4.97,3.54,4.49,5.24
SHREVEPORT, LA                ,4.19,4.77,4.35,4.05,4.45,4.97,3.49,2.61,3.36,5.05,4.74,4.92
CARIBOU, ME                   ,2.71,2.21,2.51,2.66,3.33,3.48,4.08,3.76,3.32,3.53,3.63,3.27
PORTLAND, ME                  ,3.38,3.25,4.24,4.32,4.01,3.79,3.61,3.14,3.69,4.87,4.93,4.02
BALTIMORE, MD                 ,3.05,2.9,3.9,3.19,3.99,3.46,4.07,3.29,4.03,3.33,3.3,3.37
BLUE HILL, MA                 ,4.35,4.07,5.58,4.55,4.11,4.31,4.02,4.03,4.06,4.69,4.76,4.89
BOSTON, MA                    ,3.36,3.25,4.32,3.74,3.49,3.68,3.43,3.35,3.44,3.94,3.99,3.78
WORCESTER, MA                 ,3.49,3.23,4.21,4.11,4.19,4.19,4.23,3.71,3.93,4.68,4.28,3.82
